smiles,docking_score,reference_id
c1cccc(c12)cc(cn2)NC(=O)CCCc(c[nH]3)c(c34)cccc4,-6.597,TRAIN_0050
FC(F)(F)c(c1)cccc1C(=O)NC2CCN(CC2)Cc3ccccn3,-6.542,TRAIN_0051
c1ccccc1[C@H](C(=O)N)NCc2cccc(c2)N3CCCC3=O,-6.54,TRAIN_0052
CS(=O)(=O)c1ccc(F)c(c1)C(=O)Nc2cccc(c2)-c3[nH]ncn3,-6.52,TRAIN_0053
Cc1n[nH]cc1CNCc2ccc(cc2)CN3CCC(C)CC3,-6.519,TRAIN_0054
C[C@H]1OCCC[C@H]1C(=O)NCCc(n2)n(C)c(c23)ccc(F)c3,-6.506,TRAIN_0055
c1cccc(c12)cc(cn2)CC(=O)N3CCC[C@H](C3)N4CCNC4=O,-6.455,TRAIN_0056
Cc1ccc(Cl)c(c1Cl)NC(=O)CN2C(=O)N[C@@H](C2=O)Cc(c[nH]3)c(c34)cccc4,-6.442,TRAIN_0057
C1CCCc(c12)c(C(=O)N)c(s2)NC(=O)CN3CCC[C@H](C3)c4cc[nH]n4,-6.398,TRAIN_0058
CS(=O)(=O)C[C@H](C)C(=O)N[C@@H]1CCN(C1)c2cccc(Cl)c2,-6.371,TRAIN_0059
Cc1cccc(c1)NC2CCN(CC2)C(=O)c3cc(C#N)ccn3,-6.368,TRAIN_0060
c1c(F)ccc(c12)c(c[nH]2)CC(=O)NCc([nH]n3)c(c34)CCCC4,-6.342,TRAIN_0061
c1ccccc1-c(cs2)nc2NC(=O)CCCN(C3=O)C(=O)c(c34)cccc4,-6.325,TRAIN_0062
c1cccc(c12)c(c[nH]2)C[C@H](C(=O)OC)NC(=O)CN3CCNC(=O)C3,-6.314,TRAIN_0063
[O-][N+](=O)c1ccc(cc1C)C(=O)N2CCC[C@H](C2)c3ccn[nH]3,-6.313,TRAIN_0064
Cc1nc(cs1)CC(=O)N2CC[C@H](C2)n3cc(nn3)C(=O)O,-6.31,TRAIN_0065
CCc1cccc(c1)OCC(=O)Nc2nc(cs2)-c3ccc(cc3)NS(=O)(=O)C,-6.285,TRAIN_0066
Cc1cc(=O)[nH]c(n1)-c2cccc(c2)NC(=O)Cc3ccccc3Cl,-6.284,TRAIN_0067
CN(C1)CC[C@@]12CCN(C2)C(=O)NCc(cc3Cl)cc(c34)OCCO4,-6.273,TRAIN_0068
CC(=O)Nc1cc(cc(c1)C(F)(F)F)C(=O)NCC(C)(C)c2ccccc2,-6.259,TRAIN_0069
n1nn(C)c(c12)ccc(c2)C(=O)Nc3ccc(c(Cl)c3)NCc4ccccc4,-6.255,TRAIN_0070
