final_feature_index,feature_name,source
144,RDKIT::fr_bicyclic,RDKit
145,RDKIT::fr_ester,RDKit
146,RDKIT::fr_ether,RDKit
147,RDKIT::fr_furan,RDKit
148,RDKIT::fr_halogen,RDKit
149,RDKIT::fr_imidazole,RDKit
150,RDKIT::fr_imide,RDKit
151,RDKIT::fr_methoxy,RDKit
152,RDKIT::fr_morpholine,RDKit
153,RDKIT::fr_nitro,RDKit
154,RDKIT::fr_nitro_arom_nonortho,RDKit
155,RDKIT::fr_oxazole,RDKit
156,RDKIT::fr_para_hydroxylation,RDKit
157,RDKIT::fr_phenol,RDKit
158,RDKIT::fr_phenol_noOrthoHbond,RDKit
159,RDKIT::fr_piperdine,RDKit
160,RDKIT::fr_piperzine,RDKit
161,RDKIT::fr_priamide,RDKit
162,RDKIT::fr_prisulfonamd,RDKit
163,RDKIT::fr_pyridine,RDKit
164,RDKIT::fr_sulfide,RDKit
165,RDKIT::fr_sulfonamd,RDKit
166,RDKIT::fr_sulfone,RDKit
167,RDKIT::fr_tetrazole,RDKit
168,RDKIT::fr_thiazole,RDKit
169,RDKIT::fr_thiophene,RDKit
170,RDKIT::fr_unbrch_alkane,RDKit
171,RDKIT::fr_urea,RDKit
172,MORDRED::ABCGG,Mordred
173,MORDRED::nAcid,Mordred
174,MORDRED::nBase,Mordred
175,MORDRED::SpMax_A,Mordred
176,MORDRED::SpDiam_A,Mordred
177,MORDRED::SpMAD_A,Mordred
178,MORDRED::VE1_A,Mordred
179,MORDRED::VE2_A,Mordred
180,MORDRED::VE3_A,Mordred
181,MORDRED::VR1_A,Mordred
182,MORDRED::VR3_A,Mordred
183,MORDRED::nAromAtom,Mordred
184,MORDRED::nAtom,Mordred
185,MORDRED::nH,Mordred
186,MORDRED::nC,Mordred
187,MORDRED::nN,Mordred
188,MORDRED::nO,Mordred
189,MORDRED::nS,Mordred
190,MORDRED::nF,Mordred
191,MORDRED::nBr,Mordred
192,MORDRED::ATS0dv,Mordred
193,MORDRED::ATS1dv,Mordred
194,MORDRED::ATS2dv,Mordred
195,MORDRED::ATS3dv,Mordred
196,MORDRED::ATS4dv,Mordred
197,MORDRED::ATS5dv,Mordred
198,MORDRED::ATS6dv,Mordred
